Incident Type,Incident Number,Incident Date,Violation Type,Violation Section,Violation Description,Location
ARREST,2000003901,"Jan 2, 2020 9:16:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,3755 VISTA CAMPANA N ##54
ARREST,2000003501,"Jan 2, 2020 9:23:00 AM",PC,273.6(A),VIOLATE DOMESTIC RELATIONS COURT ORDER (M),
ARREST,2000004601,"Jan 2, 2020 12:01:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),4101 OCEANSIDE BOULEVARD
ARREST,2000006201,"Jan 2, 2020 4:30:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)","BUSH STREET & SAN DIEGO STREET, OCEANSIDE, CA 92054"
ARREST,2000006901,"Jan 2, 2020 5:55:00 PM",PC,273.6(A),VIOLATE DOMESTIC RELATIONS COURT ORDER (M),200 S HARBOR DRIVE
ARREST,2000007001,"Jan 2, 2020 6:12:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",2102 S NEVADA STREET
ARREST,2000007101,"Jan 2, 2020 6:36:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",0 200 BROOKS
ARREST,2000007301,"Jan 2, 2020 6:44:00 PM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,"ROYMAR ROAD & VIA DE LA VALLE, OCEANSIDE, CA 92054"
ARREST,2000007401,"Jan 2, 2020 6:45:00 PM",PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE (F),"CIVIC CENTER DRIVE & N COAST HIGHWAY, OCEANSIDE, CA 92054"
ARREST,2000007402,"Jan 2, 2020 6:57:00 PM",PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE (F),
ARREST,2000007501,"Jan 2, 2020 7:00:00 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),300 CIVIC CENTER DRIVE
ARREST,2000007801,"Jan 2, 2020 9:00:00 PM",PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),195 S TREMONT STREET
ARREST,2000007902,"Jan 2, 2020 10:03:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),115 S HORNE STREET
ARREST,2000007901,"Jan 2, 2020 10:03:00 PM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),"benet & SR76, OCEANSIDE, CA 92054"
ARREST,2000008101,"Jan 2, 2020 11:00:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),4101 OCEANSIDE BOULEVARD
ARREST,2000008001,"Jan 2, 2020 11:00:00 PM",VC,23152A,DUI ALCOHOL (M),
ARREST,2000008601,"Jan 3, 2020 2:38:00 AM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),195 S TREMONT STREET
ARREST,2000008701,"Jan 3, 2020 4:10:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),101 OLD GROVE ROAD
ARREST,2000008901,"Jan 3, 2020 7:00:00 AM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),901 N COAST HIGHWAY
ARREST,2000009001,"Jan 3, 2020 7:18:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,2255 MISSION AVENUE
ARREST,2000009101,"Jan 3, 2020 7:30:00 AM",BP,22435.2B,POSS SHOPPING/LAUNDRY CART (M),200 THE STRAND N
ARREST,2000009201,"Jan 3, 2020 8:18:00 AM",PC,166(A)(4),CONTEMPT OF COURT:DISOBEY COURT ORDER (M),195 S TREMONT STREET
ARREST,2000012301,"Jan 3, 2020 8:46:00 AM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),"AIRPORT ROAD & ROYMAR ROAD, OCEANSIDE, CA 92058"
ARREST,2000009301,"Jan 3, 2020 9:00:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,400 PARKSIDE DRIVE
ARREST,2000009401,"Jan 3, 2020 9:15:00 AM",PC,1203.2(A),PROBATION VIOLATION:REARREST/REVOKE,
ARREST,2000009501,"Jan 3, 2020 9:20:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),520 N DITMAR STREET
ARREST,2000011201,"Jan 3, 2020 9:40:00 AM",PC,21310,CARRY CONCEALED DIRK OR DAGGER (F),3655 VISTA CAMPANA
ARREST,2000009801,"Jan 3, 2020 10:10:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),"FOUSSAT ROAD & NOREEN WAY, OCEANSIDE, CA 92054"
ARREST,2000010101,"Jan 3, 2020 10:35:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,100 ROYMAR ROAD
ARREST,2000010201,"Jan 3, 2020 10:46:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,3100 VISTA WAY
ARREST,2000010501,"Jan 3, 2020 11:00:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),684 THUNDERBIRD DRIVE
ARREST,2000010801,"Jan 3, 2020 11:15:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),"New Foussat ROAD & SR-76, OCEANSIDE, CA 92058"
ARREST,2000010901,"Jan 3, 2020 11:47:00 AM",PC,1203.2(A),PROBATION VIOLATION:REARREST/REVOKE,"DOUGLAS DRIVE & STATE ROUTE 76 WB, OCEANSIDE, CA 92057"
ARREST,2000011301,"Jan 3, 2020 12:15:00 PM",PC,594(B)(2)(A),VANDALISM [$400 OR LESS] (M),"INTERSTATE 5 NB & STATE ROUTE 76 WB, OCEANSIDE, CA 92054"
ARREST,2000012501,"Jan 3, 2020 3:06:00 PM",PC,30305(B)(1),PROHIBIT STREET GANG MEMBER OWN/POSSESS/ETC AMMUNITION (M),425 COLLEGE BOULEVARD
ARREST,2000013301,"Jan 3, 2020 5:16:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),1003 MISSION AVENUE
ARREST,1901925801,"Jan 3, 2020 8:31:00 PM",PC,69,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY (F),1400 N HARBOR DRIVE
ARREST,2000013801,"Jan 3, 2020 9:28:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),2855 CEDAR ROAD
ARREST,2000013901,"Jan 3, 2020 10:07:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",1 OCEANSIDE PIER
ARREST,2000014001,"Jan 3, 2020 10:30:00 PM",HS,11375(B)(2),POSS CNTL SUB W/O PRESCRIPTION (M),"COLLEGE BOULEVARD & VIA CUPENO, OCEANSIDE, CA 92057"
ARREST,2000014002,"Jan 3, 2020 10:30:00 PM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,2985 VIA LAS ROSAS
ARREST,2000014101,"Jan 3, 2020 11:36:00 PM",PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),3855 MISSION AVENUE
ARREST,2000014301,"Jan 4, 2020 1:08:00 AM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",3535 COLLEGE BOULEVARD
ARREST,2000014401,"Jan 4, 2020 1:15:00 AM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),"CORPORATE CENTRE & OCEANSIDE BOULEVARD, OCEANSIDE, CA 92056"
ARREST,2000014501,"Jan 4, 2020 1:18:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),"AVENIDA DESCANSO & NORTH RIVER ROAD, OCEANSIDE, CA 92057"
ARREST,2000014601,"Jan 4, 2020 1:55:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),700 GODFREY STREET
ARREST,2000014801,"Jan 4, 2020 5:00:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,195 S TREMONT STREET
ARREST,2000015901,"Jan 4, 2020 11:55:00 AM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",2213 EL CAMINO REAL
ARREST,2000017001,"Jan 4, 2020 7:07:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",409 S MYERS STREET
ARREST,2000017101,"Jan 4, 2020 8:07:00 PM",PC,3056,VIOL PAROLE:FELONY (F),"N HORNE STREET & PIER VIEW WAY, OCEANSIDE, CA 92054"
ARREST,2000017201,"Jan 4, 2020 8:16:00 PM",HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS (M),3770 MISSION AVENUE
ARREST,2000017301,"Jan 4, 2020 9:16:03 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),"N COAST HIGHWAY & SURFRIDER WAY, OCEANSIDE, CA 92054"
ARREST,2000017401,"Jan 4, 2020 9:16:40 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),1927 BUSH STREET
ARREST,2000017601,"Jan 4, 2020 9:26:00 PM",PC,69,THREATEN EXECUTIVE OFFICER WITH VIOLENCE (F),"Carmelo DRIVE & HARBOR DRIVE, OCEANSIDE, CA 92054"
ARREST,2000008401,"Jan 4, 2020 9:40:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),1401 S COAST HIGHWAY
ARREST,2000017901,"Jan 4, 2020 11:28:00 PM",PC,186.22(B)(1),PROMOTE/ASSIST FELONY CRIMINAL STREET GANG (F),1202 S COAST HIGHWAY
ARREST,2000018301,"Jan 5, 2020 2:15:00 AM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",4005 PLAZA DRIVE
ARREST,2000018401,"Jan 5, 2020 2:50:00 AM",PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),"N MYERS STREET & PIER VIEW WAY, OCEANSIDE, CA 92054"
ARREST,2000018501,"Jan 5, 2020 3:43:19 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,4439 AVENIDA DEL GADO
ARREST,2000019201,"Jan 5, 2020 9:04:00 AM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),1680 OCEANSIDE BOULEVARD
ARREST,2000019801,"Jan 5, 2020 2:09:00 PM",VC,40302A,FAILURE TO PRESENT LICENSE OR SATISFACTORY IDENTIFICATION (M),705 COLLEGE BOULEVARD
ARREST,2000020001,"Jan 5, 2020 2:33:00 PM",PC,459.5,SHOPLIFTING (M),2913 OCEANSIDE BOULEVARD
ARREST,2000020101,"Jan 5, 2020 2:43:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",2685 JOANN DRIVE
ARREST,2000020501,"Jan 5, 2020 5:11:00 PM",PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),"BUSH STREET & N CANYON DRIVE, OCEANSIDE, CA 92054"
ARREST,2000020701,"Jan 5, 2020 5:38:00 PM",PC,273A(A),WILLFUL CRUELTY TO CHILD WITHOUT INJURY OR DEATH (F),269 AVNDA DELGADO
ARREST,2000020601,"Jan 5, 2020 5:45:00 PM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,3170 VISTA WAY##205
ARREST,2000020801,"Jan 5, 2020 5:51:00 PM",HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS (M),3190 VISTA WAY##215
ARREST,2000021301,"Jan 5, 2020 8:36:00 PM",PC,594(B)(1),VANDALISM ($400 OR MORE) (F),
ARREST,2000021701,"Jan 5, 2020 9:53:00 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),901 N COAST HIGHWAY
ARREST,2000021801,"Jan 5, 2020 10:09:00 PM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),1990 COLLEGE BOULEVARD
ARREST,2000022301,"Jan 6, 2020 8:40:00 AM",PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),
ARREST,2000022801,"Jan 6, 2020 9:10:00 AM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),1531 MISSION AVENUE
ARREST,2000023601,"Jan 6, 2020 12:45:00 PM",PC,459.5,SHOPLIFTING (M),1900 MISSION AVENUE
ARREST,2000024301,"Jan 6, 2020 2:25:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",537 HOOVER STREET
ARREST,2000025401,"Jan 6, 2020 6:15:00 PM",PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),"BUSH STREET & N CANYON DRIVE, OCEANSIDE, CA 92054"
ARREST,2000025301,"Jan 6, 2020 7:40:00 PM",PC,182(A)(1),CONSPIRACY:COMMIT CRIME (F),
ARREST,2000025302,"Jan 6, 2020 7:40:00 PM",PC,182(A)(1),CONSPIRACY:COMMIT CRIME (F),1884 COMANCHE STREET
ARREST,2000026801,"Jan 6, 2020 9:14:00 PM",PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),
ARREST,2000026601,"Jan 6, 2020 9:20:00 PM",PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC (M),1403 MISSION AVENUE
ARREST,2000026901,"Jan 6, 2020 9:30:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",
ARREST,2000027001,"Jan 6, 2020 10:00:00 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),901 THE STRAND N
ARREST,2000027201,"Jan 6, 2020 10:40:00 PM",VC,23152A,DUI ALCOHOL (M),"COLLEGE BOULEVARD & LAKE BOULEVARD, OCEANSIDE, CA 92056"
ARREST,2000027301,"Jan 6, 2020 10:50:00 PM",PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC (M),1700 S OCEANSIDE BOULEVARD
ARREST,2000027401,"Jan 6, 2020 11:15:00 PM",PC,148.9(A),FALSE IDENT TO PEACE OFCR (M),1400 S COAST HIGHWAY
ARREST,2000027501,"Jan 6, 2020 11:55:00 PM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",
ARREST,2000027701,"Jan 7, 2020 1:00:00 AM",VC,23152(F),DUI ALCOHOL/DRUG (M),"DOUGLAS DRIVE & FESTIVAL DRIVE, OCEANSIDE, CA 92058"
ARREST,2000027801,"Jan 7, 2020 3:10:00 AM",HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS (M),"N EL CAMINO REAL & MISSION AVENUE, OCEANSIDE, CA 92054"
ARREST,2000027901,"Jan 7, 2020 7:35:00 AM",ZZ,OUT WARRANT,FELONY OTHER AGENCY'S WARRANT,1407 MISSION AVENUE
ARREST,2000028801,"Jan 7, 2020 11:10:00 AM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),707 N COAST HIGHWAY
ARREST,2000030401,"Jan 7, 2020 2:03:00 PM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,1701 S OCEANSIDE BOULEVARD
ARREST,2000030901,"Jan 7, 2020 3:35:00 PM",PC,602(M),TRESPASS:OCCUPY REAL PROPERTY W/O OWNER CONSENT (M),3229 ROYMAR ROAD
ARREST,2000031301,"Jan 7, 2020 4:44:00 PM",PC,242,SIMPLE BATTERY (M),3549 MISSION AVENUE
ARREST,2000031801,"Jan 7, 2020 6:45:00 PM",PC,3056,VIOL PAROLE:FELONY (F),450 COLLEGE BOULEVARD
ARREST,2000032001,"Jan 7, 2020 7:30:00 PM",PC,602(M),TRESPASS:OCCUPY REAL PROPERTY W/O OWNER CONSENT (M),3708 PLAZA DRIVE
ARREST,2000032101,"Jan 7, 2020 8:15:00 PM",PC,459.5,SHOPLIFTING (M),"I5 NB & Rest Area, CAMP PENDLETON, CA 92055"
ARREST,2000032201,"Jan 7, 2020 8:15:00 PM",PC,1203.2(A),PROBATION VIOLATION:REARREST/REVOKE,
ARREST,2000032701,"Jan 7, 2020 11:01:00 PM",PC,459.5,SHOPLIFTING (M),4567 OCEANSIDE BOULEVARD
ARREST,2000032801,"Jan 7, 2020 11:10:00 PM",VC,23152A,DUI ALCOHOL (M),410 S FREEMAN STREET
ARREST,2000033101,"Jan 8, 2020 2:00:00 AM",PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC (M),
ARREST,2000033301,"Jan 8, 2020 7:33:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,3838 VISTA WAY
ARREST,2000033901,"Jan 8, 2020 9:10:00 AM",PC,594(B)(1),VANDALISM ($400 OR MORE) (F),317 BLUE SPRINGS LANE
ARREST,2000034001,"Jan 8, 2020 9:12:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),1400 S COAST HIGHWAY
ARREST,2000034301,"Jan 8, 2020 11:33:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,1990 COLLEGE BOULEVARD
ARREST,2000034501,"Jan 8, 2020 12:20:00 PM",PC,33215,MFG/IMPORT/ETC SHORT BARRELED RIFLE (F),700 CAREY ROAD
ARREST,1900502801,"Jan 8, 2020 1:00:00 PM",PC,311.11(C)(1),POSSESS/ETC OVER 600 OBSCENE IMAGES/ETC:MINOR IN SEXUAL ACT (,F4)25 COLLEGE BOULEVARD
ARREST,2000036201,"Jan 8, 2020 3:07:00 PM",PC,488,PETTY THEFT(Shoplift) (M),400 COLLEGE BOULEVARD
ARREST,2000031201,"Jan 8, 2020 3:45:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),"RANCHO DEL ORO DRIVE & STATE ROUTE 76 WB, OCEANSIDE, CA 92056"
ARREST,2000037001,"Jan 8, 2020 5:30:00 PM",PC,459.5,SHOPLIFTING (M),1145 S TREMONT STREET
ARREST,2000037101,"Jan 8, 2020 6:30:00 PM",PC,490.5A,PETTY THEFT FROM LIBRARY OR MERCHANT (M),4002 VISTA WAY
ARREST,2000037201,"Jan 8, 2020 6:50:00 PM",PC,242,SIMPLE BATTERY (M),"ALIENTO WAY & PEYRI ROAD, OCEANSIDE, CA 92058"
ARREST,2000036901,"Jan 8, 2020 7:45:00 PM",PC,3453(Q),FLASH INCARCERATION,425 COLLEGE BOULEVARD
ARREST,2000036902,"Jan 8, 2020 8:19:00 PM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),200 THE STRAND N
ARREST,2000037601,"Jan 8, 2020 8:28:00 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),707 N COAST HIGHWAY
ARREST,2000036701,"Jan 8, 2020 8:59:00 PM",PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),179 MONROE STREET
ARREST,2000037901,"Jan 8, 2020 11:05:00 PM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,4100 NORTH RIVER ROAD
ARREST,2000038201,"Jan 9, 2020 1:13:00 AM",HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS (M),901 N COAST HIGHWAY
ARREST,2000038101,"Jan 9, 2020 1:36:00 AM",PC,537(A)(1),DEFRAUDING AN INNKEEPER [$950 OR LESS] (M),3817 PLAZA DRIVE
ARREST,2000038501,"Jan 9, 2020 7:50:00 AM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),2850 THUNDER DRIVE
ARREST,2000038801,"Jan 9, 2020 8:00:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,"EL CAMINO REAL & SKYLINE DRIVE, OCEANSIDE, CA 92057"
ARREST,2000038901,"Jan 9, 2020 8:40:00 AM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",2012 S TREMONT STREET
ARREST,1900286901,"Jan 9, 2020 12:13:00 PM",PC,978.5,FELONY BENCH WARRANT (OUR AGENCY),200 BROOKS STREET
ARREST,2000039701,"Jan 9, 2020 12:23:00 PM",BP,22435.2(F),POSS SHOPPING/LAUNDRY CARTS (Not on Premises) (M),3891 CAMEO DRIVE
ARREST,2000039901,"Jan 9, 2020 12:58:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),3800 MISSION AVENUE
ARREST,2000040001,"Jan 9, 2020 1:00:00 PM",PC,242,SIMPLE BATTERY (M),425 COLLEGE BOULEVARD
ARREST,2000040701,"Jan 9, 2020 3:32:00 PM",PC,148(A)(1),OBSTRUCT/RESIST PEACE OFCR/EMER MED TECH (M),
ARREST,2000041001,"Jan 9, 2020 4:25:00 PM",PC,3056,VIOL PAROLE:FELONY (F),"HARBOR & san Rafael, OCEANSIDE, CA 92054"
ARREST,2000041201,"Jan 9, 2020 4:36:00 PM",PC,314.1,INDECENT EXPOSURE AFTER ILLEGAL ENTRY OCCUPIED DWELLING (F),"GREENBRIER DRIVE & OCEANSIDE BOULEVARD, OCEANSIDE, CA 92054"
ARREST,2000041301,"Jan 9, 2020 4:57:00 PM",ZZ,OUT WARRANT,FELONY OTHER AGENCY'S WARRANT,400 PARKSIDE DRIVE
ARREST,2000042001,"Jan 9, 2020 8:59:00 PM",PC,211,ROBBERY (F),400 PARKSIDE DRIVE
ARREST,2000042002,"Jan 9, 2020 8:59:00 PM",PC,3056,VIOL PAROLE:FELONY (F),700 COLLEGE BOULEVARD
ARREST,2000042501,"Jan 9, 2020 8:59:00 PM",VC,23152A,DUI ALCOHOL (M),
ARREST,2000042601,"Jan 9, 2020 9:30:00 PM",PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC (M),1501 N MELROSE DRIVE
ARREST,2000042901,"Jan 10, 2020 2:20:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),125 OLD GROVE ROAD
ARREST,2000043001,"Jan 10, 2020 3:18:00 AM",PC,1203.2(A),PROBATION VIOLATION:REARREST/REVOKE,
ARREST,2000043402,"Jan 10, 2020 5:30:00 AM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),"N SANTA FE AVENUE & STATE ROUTE 76 WB, OCEANSIDE, CA 92057"
ARREST,2000043401,"Jan 10, 2020 5:30:00 AM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),"INTERSTATE 5 SB & MISSION AVENUE, OCEANSIDE, CA 92054"
ARREST,2000043403,"Jan 10, 2020 5:30:00 AM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),1840 S COAST HIGHWAY
ARREST,2000043404,"Jan 10, 2020 5:30:00 AM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),2100 VISTA WAY
ARREST,2000043701,"Jan 10, 2020 8:15:00 AM",HS,11359(B),POSSES MARIJUANA FOR SALE OVER 18 (M),"i-5 & SR, OCEANSIDE, CA 92058"
ARREST,2000044601,"Jan 10, 2020 11:45:00 AM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",3864 MISSION AVENUE
ARREST,2000044701,"Jan 10, 2020 11:55:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),125 OLD GROVE ROAD
ARREST,2000044801,"Jan 10, 2020 12:38:00 PM",PC,827.1,MISD CITE AND RELEASE ON ACTIVE WARRANT (M),700 COLLEGE BOULEVARD
ARREST,2000044901,"Jan 10, 2020 12:49:00 PM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),"N DITMAR STREET & MISSION AVENUE, OCEANSIDE, CA 92054"
ARREST,2000045101,"Jan 10, 2020 1:32:00 PM",PC,290.018(A),SEX OFFENDER FAIL TO REGISTER/ETC (M),3800 PLAZA DRIVE
ARREST,2000045001,"Jan 10, 2020 1:38:00 PM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,4130 OCEANSIDE BOULEVARD
ARREST,2000045901,"Jan 10, 2020 4:45:00 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),3784 MISSION AVENUE
ARREST,2000046201,"Jan 10, 2020 5:44:00 PM",HS,11368,FORGE/ALTER NARCOTIC PRESCRIPTION (F),1800 AVENIDA DEL ORO
ARREST,2000046101,"Jan 10, 2020 5:47:00 PM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,400 PARKSIDE DRIVE
