row_number,reasons,CallID,When Reported,Typ,Nature,P,Location,Cty
2293,'Nature' garbled/scrambled text,19C065805,20:54:28 07/26/19,f,ZZFwy Acc w/inj,1,15 SB CAJALCO WEIRICK,TEM
2294,'Location' garbled/scrambled text,19C065807,21:06:24 07/26/19,lf,Battery Injury,1,1280 E SIXTH ST;SALVATION ARMY;STAGE,COR
2418,'Nature' garbled/scrambled text,19C065965,09:32:32 07/27/19,f,ZZFwy Acc w/inj,1,91 WB GREEN RIVER OC LINE,COR
2506,'Location' garbled/scrambled text,19C066088,13:47:43 07/27/19,l,Disturb Peace,3,1646 DAWNRIDGE; BRENTWOOD PARK;MUSIC,COR
2516,'Nature' garbled/scrambled text,19C066098,14:38:19 07/27/19,f,ZZFwy Acc w/inj,1,71 SB FROM EUCLID 91 WB,RVC
2521,'Nature' garbled text (embedded symbol),19C066105,14:52:59 07/27/19,f,ZZFaint/Uncons,1,1402 E ONTARIO AVE; ARCO AMPM AT IN AND OUT CENTER,COR
2547,'Location' garbled/scrambled text,19C066139,16:18:29 07/27/19,l,Alarm Call,2,1450 POMONA RD; CARCREDIT AUTOGROUP,COR
2553,'Location' garbled/scrambled text,19C066148,16:37:13 07/27/19,l,Alarm Call,2,1440 CHALGROVE DR # E; SOTELO RESD,COR
2621,'Nature' garbled/scrambled text,19C066240,21:03:03 07/27/19,f,ZZFwy Acc w/inj,1,91 EB LINCOLN MAIN,COR
2628,'Nature' garbled/scrambled text,19C066250,21:26:52 07/27/19,f,ZZFwy Acc w/inj,1,91 EB GREEN RIVER 71,RVC
2685,'Location' garbled/scrambled text,19C066332,00:31:59 07/28/19,f,ZZFwy VegFireH,1,91 EB SERFAS CLUB 6TH STMAPLE,COR
2699,'Location' garbled/scrambled text,19C066359,01:53:11 07/28/19,lf,Accident Inj,1,9000 CAJALCO RD;MC DOWN,RVC
2726,'Location' garbled/scrambled text,19C066392,06:12:28 07/28/19,l,Alarm Call,2,1477 DAVRIL CIR; CTHRU SUNROOMS,COR
2905,'Nature' garbled text (embedded symbol),19C066655,18:56:31 07/28/19,f,ZZFaint/Uncons,1,2240 E TREEMONT PL # 206,COR
2930,'Nature' garbled/scrambled text,19C066714,21:10:45 07/28/19,f,ZZFwy Acc w/inj,1,15 SB CAJALCO WEIRICK,TEM
2960,'Nature' garbled/scrambled text,19C066755,22:37:53 07/28/19,f,ZZFwy Acc w/inj,1,15 SB CAJALCO WEIRICK,TEM
3085,'Nature' garbled text (embedded symbol),19C066939,10:44:48 07/29/19,f,ZZFaint/Uncons,1,705 N MAIN ST # 110; CHUZE FITNESS,COR
3185,'Nature' garbled/scrambled text,19C067098,18:44:21 07/29/19,f,ZZFwy Acc w/inj,1,15 SB MAGNOLIA ONTARIO,COR
3303,'Nature' garbled/scrambled text,19C067273,08:04:50 07/30/19,f,ZZFwy Acc w/inj,1,71 SB FROM EUCLID 91 WB ; MC DOWN,RVC
3489,'Location' garbled/scrambled text,19C067528,18:16:45 07/30/19,f,ZZMedical Alert,1,3725 FOXPLAIN RD;CAMPBELL REISDENCE,COR
3509,'Nature' garbled/scrambled text,19C067552,19:44:14 07/30/19,f,ZZFwy Acc w/inj,1,91 WB AUTO CENTER 71,RVC
3666,'Nature' garbled text (embedded symbol),19C067765,11:10:33 07/31/19,f,ZZFaint/Uncons,1,720 S RAMONA AVE # 105; CORONA MEDICAL CENTER,COR
3709,'Nature' garbled text (embedded symbol),19C067824,13:20:06 07/31/19,f,ZZFaint/Uncons,1,400 N MCKINLEY ST; MCDONALDS,COR
3778,'Location' garbled/scrambled text,19C067917,17:54:29 07/31/19,l,Patrol Info,4,12471 LIMONITE;TARGET EASTVALE 211 W/GUN,EVL
3928,'Nature' garbled/scrambled text,19C068108,07:10:06 08/01/19,f,ZZFwy Acc w/inj,1,15 NB MAGNOLIA HIDDEN VALLEY,COR
4046,'Nature' garbled text (embedded symbol),19C068276,14:51:28 08/01/19,f,ZZFaint/Uncons,1,1280 CORONA POINTE CT; #112; CITY OF HOPE,COR
4103,'Nature' garbled text (embedded symbol),19C068352,18:44:39 08/01/19,f,ZZFaint/Uncons,1,1113 ANDREW LN,COR
